username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Pervez S. Agwan,1375838661409902600,"Houston, TX",2023-01-22 05:58:17,"@NidaAllam @DukeEnergy Agree entirely Nida! 

For profit utilities
For profit energy generation
For profit transmis… https://t.co/O17LkNUfoZ",1,Twitter for iPhone,
Kevin Brown,2756672681,"Houston, TX",2023-01-22 01:46:42,@KeithFlippen @CatholicLeague Just my opinion but cardinal cupich is his most worthless appointment.  You would lov… https://t.co/od9mkUCqyF,0,Twitter for Android,
Zpizzle,1355252644152045574,"Houston, TX",2023-01-22 01:21:32,@Lukewearechange @OzraeliAvi Climate change is fucking up hearts everywhere. It's so sad to know that gas stoves an… https://t.co/3m6URvN5yQ,0,Twitter for Android,
Sam Collins,1519159155608670208,"Houston, Texas",2023-01-22 00:36:34,Boston Fed President: Climate Change Is a Factor in Inflation https://t.co/eYSTzhgzaN via @BreitbartNews,0,Twitter Web App,
lisa wild,37010968,"Houston, Tx",2023-01-21 23:44:14,"Watch ""Climate Change and Winter Sports"" on YouTube https://t.co/AqtbUgTAL9",0,Twitter Web App,
America is in a recession,1377665258421096450,"Houston, TX",2023-01-21 20:19:48,@GovernorHobbs @VP @SecGranholm @SecDebHaaland Climate change is a fraud. Almost as big a fraud as these 2 incompet… https://t.co/UsY4EeNVea,0,Twitter for iPad,
Beau Balentine,1608217534796369920,"Houston, TX",2023-01-21 20:14:49,@backtolife_2023 @ezralevant Even if you agree with the climate change narrative you have to recognize the clear co… https://t.co/nCF8NRFEMv,0,Twitter for iPhone,
M,60195990,"Houston, TX",2023-01-21 20:05:01,Same with so called climate change alarmists,0,Twitter Web App,
Gangster Mom,1456860396627841024,"Houston, TX",2023-01-21 18:21:15,@thevivafrei Climate change.. strikes again,0,Twitter for iPhone,
Guns Addict,2302015590,"Houston, TX",2023-01-21 18:13:29,"The Latest Madness: Coffee Is Contributing To Climate Change https://t.co/Q9pyWaM3hv via @pamelageller 
These peopl… https://t.co/khlYqen12s",0,Twitter Web App,
Politically Incorrect Texan,375888849,"Houston, Tx.",2023-01-21 17:56:33,@larryelder That's because climate change is a farce and they know it,0,Twitter for Android,
Politically Incorrect Texan,375888849,"Houston, Tx.",2023-01-21 17:51:58,"@BofA_News @DSteveBoland If climate change is real, why do the elites all buy homes on the coast? 🤔According to the… https://t.co/gq6ok14Q38",0,Twitter for Android,
Mimi Joeckel,1586497072341065730,"Katy, Texas",2023-01-21 16:57:44,"@TrumpsHurricane Can someone tell me how Big Oil caused the floods in 1861?

Or 1909, 1933, 1937, 1938, 1939, 1950,… https://t.co/dSSHNKEI88",0,Twitter Web App,
cindy horswell,50707051,"houston, tx",2023-01-21 16:56:27,"At Davos, climate envoy John Kerry calls for a World War II-like mobilization of government and private industry to… https://t.co/o78eBmJT9d",0,Twitter for iPhone,
Mimi Joeckel,1586497072341065730,"Katy, Texas",2023-01-21 16:51:32,"@goldstandard @SustainTom @MargaretNKim Can someone tell me how Big Oil caused the floods in 1861?

Or 1909, 1933,… https://t.co/FxyaLCjmAc",0,Twitter Web App,
Mimi Joeckel,1586497072341065730,"Katy, Texas",2023-01-21 16:49:21,"@Tume_Live LOL - caused by Big Oil, right?

Can someone tell me how Big Oil caused the floods in 1861?

Or 1909, 19… https://t.co/HzvKVpLmiY",0,Twitter Web App,
Mimi Joeckel,1586497072341065730,"Katy, Texas",2023-01-21 16:48:20,"Can someone tell me how Big Oil caused the floods in California in 1861?

Or the ones in 1909, 1933, 1937, 1938, 19… https://t.co/3Nm2UWu47X",1,Twitter Web App,
Mimi Joeckel,1586497072341065730,"Katy, Texas",2023-01-21 16:47:51,"@Cernovich Can someone tell me how Big Oil caused the floods in 1861?

Or 1909, 1933, 1937, 1938, 1939, 1950, 1962,… https://t.co/oQjQEdOq1h",0,Twitter Web App,
M,60195990,"Houston, TX",2023-01-21 16:46:44,"The WORLD is so much worse off w/
global elitists highjacking economy with so called climate change scam
Climate ha… https://t.co/JPRcEpu62P",0,Twitter Web App,
M,60195990,"Houston, TX",2023-01-21 16:44:12,"The WORLD is so much worse off than 2 yrs ago
global elitists highjacking economy with so called climate change ide… https://t.co/Pw4HsUEo97",0,Twitter Web App,
Clayton B. Cause,1427825752335163393,Kemah TX,2023-01-21 15:50:21,@YALiberty The Bernie Sanders of Climate Change.  I hope he plays “Doc” in the back to the future 4 and uses all that energy.,0,Twitter for iPhone,
itODiE - Parody - (Not a real dog),37507057,"Houston, TX",2023-01-21 15:32:13,"@DrLoupis What happened? 

End of world scenarios have a finite anxiety inducing period in humans; regardless of wh… https://t.co/PCLdAR8nWr",0,Twitter for Android,
MrToxicity,1170025495083270144,"Houston, TX",2023-01-21 14:29:41,@BabyyKitsunee Yea cuz Mario needed to teach the mushroom kingdom about climate change right??? Goofy ass,0,Twitter for Android,
Terri Menke-Rickman PhD,31466009,Houston,2023-01-21 14:18:52,"@laurenboebert @laurenboebert Please provide info on your policies to reduce inflation, make health care more affor… https://t.co/MeDkk9S3eY",0,Twitter Web App,
Bitcoinization,1448291038188261387,"Houston, TX",2023-01-21 12:57:03,"@Mangan150 Nah, it’s climate change! 😂",0,Twitter for iPhone,
