username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Mr. Conservative 🇺🇸,2350307024,"Oklahoma City, OK",2023-01-21 23:56:15,"@RonnyJacksonTX Democrats would never ask China to do their part, when they out number united states 4:1 ratio. And… https://t.co/GhIfGCFlRx",0,Twitter for iPhone,
Mike Carden,1521314383615430662,"Oklahoma City, OK",2023-01-21 22:30:47,"@TerryTibbsOG @DiedSuddenly_ I think they’ve tracked it back to Trump, but Russia was definitely involved… But it w… https://t.co/CV4nG1iu2d",0,Twitter for iPhone,
Stevenia Welch,3071809927,"Norman, OK",2023-01-21 18:36:23,@ksorbs Wow!  He was absolutely correct!  Complaining &amp; protesting &amp; rioting does not actually change things! The p… https://t.co/6A2EyD7BYO,0,Twitter for iPhone,
Oklahoma Contemporary,46185001,"Oklahoma City, Oklahoma",2023-01-21 18:00:37,"In your #SaturdayRead, @CoLabProjectsTX turns a gallery into a ""infra-sonic subwoofer."" The sounds elicit varying r… https://t.co/v7zKNt8krT",0,Hootsuite Inc.,
Elevate,365565187,"Oklahoma City, OK",2023-01-21 15:28:50,"@rawsalerts So one of the most vocal states about climate change and rising sea levels, are the same ones that thin… https://t.co/9Hj3kClDrq",4,Twitter Web App,
Marc Iacaboni,1518899402521387008,"Oklahoma City, OK",2023-01-21 14:08:07,@Healthy4life000 @P_McCulloughMD But it’s climate change it has nothing to do with the jabs they took and I am a mo… https://t.co/p1vfuZqZce,0,Twitter for iPhone,
Marc Iacaboni,1518899402521387008,"Oklahoma City, OK",2023-01-21 14:06:34,@JoeBell @P_McCulloughMD Climate change = Chemtrails +HAARP,0,Twitter for iPhone,
Theorist,3119145007,"Oklahoma City, OK",2023-01-21 11:50:01,@Anon271121 @lisapease @stewartdantec Still no. It’s the pushing a lot of things like climate change. Yes part of i… https://t.co/0HOx0H1A2W,0,Twitter for iPhone,
Tim Auten,1518911177245483008,,2023-01-21 01:50:23,"@ConservBrief You Just as well Hang Your and inflation bidens, Climate Change Hope's Up
It's a big money and Countr… https://t.co/YB62sWqK5e",0,Twitter for Android,
David Wooten,366385121,"Norman, Oklahoma",2023-01-20 19:32:51,"@chrisjones3869 @Partisangirl Yes, sadly your country is becoming a pile of shiт, thanks to 'conservative' politici… https://t.co/S8LaIUS7Ei",0,Twitter Web App,
Jeffrey Harwell,168003545,"Norman, Oklahoma",2023-01-20 14:33:01,"""No one wants to enlist in, or pay for, a war that its generals have no clue how to win, much less the means to do… https://t.co/QVwMVbKRbx",0,Twitter for Android,
Tim Auten,1518911177245483008,,2023-01-20 11:08:13,"@elonmusk @financialjuice This inflation  Biden 
Gas &amp; Oil Shutdown is not going to last long, This BS
Climate Chan… https://t.co/VkLQef6OHM",0,Twitter for Android,
